ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Dividende;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Bear Market Factor;Bad News Factor;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;MF Tech. Trend;4W Rel. Perf;Vergleichsindex;KGV;LF Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Burchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn %;Current Ratio;Langfristiges Eigenkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Ausbezahlte Dividenden (in Mio)
PLKGHM000017;KGH;KGHM POLSKA MIEDZ SA;Nichteisen-Metalle;Rohstoffe;Polen;02.08.2024;PLN;130.5;1.26;neutral;6.68;153.51;29;254;6.36%;mittel;negativ;leicht unterbewertet;negativ;-8.49%;STOXX600;8.7;21.80%;-13%;0%;56%;116%;1;NULL;32832;-3698;-11%;1.15;9%;63.90%;-4.22%;200
GB0033195214;KGF;KINGFISHER PLC.;Baumärkte & Baufachhandel;Einzel- & Grosshandel;Grossbritannien ;02.08.2024;GBp;268.7;4.61;eher positive;6.56;298.56;28;187;10.44%;mittel;negativ;leicht unterbewertet;positiv;9.69%;STOXX600;9.7;11.00%;5%;5%;55%;161%;3;neutral;12980;345;3%;1.29;18%;109.08%;7.60%;237
IE0004927939;KSP;KINGSPAN GROUP;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Irland;02.08.2024;EUR;80.75;0.73;neutral;16.77;75.09;55;192;3.00%;mittel;positiv;leicht überbewertet;negativ;1.70%;STOXX600;17.8;12.70%;17%;11%;48%;27%;2;neutral;8091;640;8%;1.65;21%;101.11%;10.79%;91
DE000KGX8881;KGX;KION GROUP;Industriemaschinen;Industrie;Deutschland;02.08.2024;EUR;32.18;3.4;eher negative;4.87;30.57;113;216;-16.78%;hoch;negativ;leicht unterbewertet;negativ;-14.61%;STOXX600;6.9;15.30%;5%;7%;31%;114%;1;negativ;11434;306;3%;1.05;21%;61.37%;11.83%;25
FR0000121964;LI;KLEPIERRE;Immobilien Investments;Finanzdienstleistungen;Frankreich;02.08.2024;EUR;26.72;6.95;eher positive;8.18;28.11;-12;143;8.27%;mittel;positiv;stark unterbewertet;positiv;7.64%;STOXX600;10.2;6.10%;2%;64%;40%;114%;4;neutral;1497;193;13%;NULL;32%;7.45%;14.06%;259
DE000KBX1006;KBX;KNORR BREMSE;Gewerbefahrzeuge;Industrie;Deutschland;02.08.2024;EUR;68.85;2.82;neutral;12.45;76.81;36;164;17.09%;mittel;positiv;stark unterbewertet;negativ;-1.15%;STOXX600;13.9;13.00%;19%;11%;33%;30%;2;negativ;7926;553;7%;1.75;25%;92.50%;11.17%;234
FI0009013403;KNEBV;KONE CORPORATION;Industriemaschinen;Industrie;Finnland;02.08.2024;EUR;47.16;4.02;neutral;26.37;50.79;-16;190;4.43%;mittel;negativ;leicht unterbewertet;positiv;4.00%;STOXX600;20.3;14.70%;34%;12%;31%;14%;3;negativ;10952;926;8%;1.13;5%;123.77%;10.91%;905
FI0009005870;KCR;KONECRANES;Gewerbefahrzeuge;Industrie;Finnland;02.08.2024;EUR;60.2;2.7;neutral;5.44;62.46;-49;171;47.62%;mittel;positiv;leicht unterbewertet;positiv;13.93%;STOXX600;10.1;9.90%;17%;11%;35%;49%;4;negativ;3966;276;7%;1.33;16%;87.13%;9.85%;99
NO0003043309;KOG;KONGSBERG GRUPPEN;Gewerbefahrzeuge;Industrie;Norwegen;02.08.2024;NOK;1039;1.79;eher positive;17.32;1130.27;-151;274;123.25%;niedrig;positiv;leicht überbewertet;positiv;20.42%;STOXX600;23.9;21.50%;23%;11%;30%;20%;3;negativ;40482;3711;9%;1.14;7%;76.06%;12.72%;2128
NL0011794037;AD;KONINKLIJKE AHOLD DELHAIZE;Nahrungsmittel;Einzel- & Grosshandel;Holland;02.08.2024;EUR;29.87;3.94;eher positive;29.28;31.44;-41;149;14.82%;mittel;negativ;stark unterbewertet;positiv;9.93%;STOXX600;10.1;8.50%;13%;4%;31%;60%;3;neutral;88649;1874;2%;0.73;31%;185.38%;6.03%;1044
NL0000009538;PHIA;KONINKLIJKE PHILIPS;Medizinische Geräte;Gesundheitswesen;Holland;02.08.2024;EUR;26.1;3.26;positive;26.22;29.84;-67;257;23.78%;niedrig;positiv;stark unterbewertet;positiv;13.57%;STOXX600;12.9;12.90%;-4%;0%;41%;63%;4;positiv;18169;-466;-3%;1.2;24%;61.79%;4.38%;2
NL0000009082;KPN;KPN KON;Integrale Telekommunikation;Telekommunikation;Holland;02.08.2024;EUR;3.62;4.86;positive;15.5;3.85;-80;148;15.97%;niedrig;positiv;stark unterbewertet;positiv;4.82%;STOXX600;13.8;10.90%;33%;26%;21%;21%;4;positiv;5439;845;16%;0.75;58%;44.39%;37.36%;587
CH0025238863;KNIN;KUEHNE UND NAGEL INTERNATIONAL;Transportwesen;Industrie;Schweiz ;02.08.2024;CHF;256.1;3.14;neutral;37.67;236.1;8;227;-11.63%;mittel;positiv;leicht überbewertet;positiv;-0.44%;STOXX600;21;11.50%;45%;8%;29%;9%;3;negativ;23849;1431;6%;1.21;12%;217.38%;9.25%;1661
FR0000120073;AI;L'AIR LIQUIDE;Grundchemikalien;Chemie;Frankreich;02.08.2024;EUR;163.48;2.07;neutral;103.7;153.39;-12;161;2.11%;mittel;negativ;fairer Preis;negativ;2.92%;STOXX600;22;15.80%;13%;19%;50%;26%;2;positiv;27608;3078;11%;0.87;20%;57.12%;20.14%;1581
FR0000120321;OR;L'OREAL;Produkte für den privaten Bedarf;Privat- & Haushaltswaren;Frankreich;02.08.2024;EUR;381.05;1.95;eher negative;223.55;362;40;141;-15.44%;mittel;negativ;leicht überbewertet;negativ;-3.51%;STOXX600;25.4;16.90%;21%;20%;56%;12%;0;negativ;41183;6184;15%;1.1;12%;79.42%;19.18%;3426
FR0013451333;FDJ;LA FRANCAISE DES JEUX;Glücksspiel;Reisen & Freizeit;Frankreich;02.08.2024;EUR;35.16;5.66;eher positive;7.15;36.92;-19;189;7.06%;mittel;positiv;stark unterbewertet;positiv;11.88%;STOXX600;12.1;10.60%;40%;22%;28%;17%;4;negativ;2621;425;16%;0.78;10%;69.15%;21.01%;253
SE0014990966;LAGR.B;LAGERCRANTZ GROUP;Elektrische Komponenten;Industrie;Schweden ;02.08.2024;SEK;164.7;1.28;eher negative;3.36;154.51;-27;218;22.91%;mittel;negativ;leicht überbewertet;negativ;-2.90%;STOXX600;26.6;18.40%;25%;15%;35%;11%;0;negativ;8129;877;11%;1.12;33%;82.60%;NULL;329
GB00BYW0PQ60;LAND;LAND SECURITIES;Immobilien Investments;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;636;6.39;eher positive;6;713.77;52;198;-9.76%;mittel;positiv;stark unterbewertet;negativ;3.83%;STOXX600;12.2;7.10%;-5%;49%;60%;131%;3;neutral;824;-319;-39%;NULL;26%;7.73%;-38.23%;291
DE0005470405;LXS;LANXESS;Grundchemikalien;Chemie;Deutschland;02.08.2024;EUR;23.04;1.35;eher negative;2.21;20.59;78;277;-18.79%;hoch;negativ;leicht unterbewertet;negativ;0.64%;STOXX600;11.8;319.10%;10%;-1%;44%;184%;2;positiv;6714;443;7%;2.48;28%;65.09%;14.97%;91
DE000LEG1110;LEG;LEG IMMOBILIEN;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Deutschland;02.08.2024;EUR;84.96;3.07;eher positive;6.72;94.14;35;236;7.11%;mittel;positiv;leicht unterbewertet;positiv;15.53%;STOXX600;7.9;81.90%;-21%;47%;38%;127%;4;neutral;1290;-1569;-122%;NULL;46%;6.64%;-120.29%;0
GB0005603997;LGEN;LEGAL & GENERAL;Lebensversicherungen;Versicherungen;Grossbritannien ;02.08.2024;GBp;220;9.82;neutral;16.96;245.88;59;148;-12.39%;mittel;negativ;leicht unterbewertet;negativ;-0.44%;STOXX600;9.1;13.60%;9%;1%;1%;32%;2;neutral;44993;435;1%;0.18;1%;8.74%;NULL;1172
FR0010307819;LR;LEGRAND;Elektrische Komponenten;Industrie;Frankreich;02.08.2024;EUR;93.9;2.36;neutral;27.53;88.52;6;150;-0.21%;mittel;negativ;fairer Preis;negativ;2.64%;STOXX600;17.3;12.20%;17%;21%;45%;27%;2;negativ;8417;1149;14%;1.98;28%;56.71%;18.04%;504
IT0003856405;LDO;LEONARDO;Luftfahrt & Verteidigung;Industrie;Italien;02.08.2024;EUR;20.8;1.51;neutral;13.46;23.99;-47;274;39.27%;mittel;negativ;stark unterbewertet;negativ;-0.97%;STOXX600;10.5;12.90%;8%;7%;25%;91%;2;negativ;15291;658;4%;0.97;9%;49.82%;8.02%;81
SE0015949201;LIFCOB;LIFCO B;Medizinische Geräte;Gesundheitswesen;Schweden ;02.08.2024;SEK;301;0.79;neutral;13.25;324.71;-42;163;21.76%;mittel;negativ;fairer Preis;positiv;4.11%;STOXX600;30.1;23.50%;22%;20%;44%;15%;3;positiv;24454;3274;13%;0.88;9%;71.31%;19.45%;973
GB0008706128;LLOY;LLOYDS BANKING GROUP;Banken;Geldinstitute;Grossbritannien ;02.08.2024;GBp;55.34;5.75;neutral;44.52;61.23;10;162;15.99%;mittel;negativ;leicht unterbewertet;negativ;5.21%;STOXX600;6.2;9.00%;12%;20%;5%;133%;2;negativ;36891;4933;13%;5.23;11%;4.19%;NULL;1651
CH0025751329;LOGN;LOGITECH INTL.SA;Computer Hardware;Technologie;Schweiz ;02.08.2024;CHF;73.12;1.52;neutral;13.96;79.96;-20;249;-8.32%;mittel;positiv;leicht überbewertet;negativ;-11.48%;STOXX600;15.7;11.20%;27%;15%;62%;16%;1;negativ;3809;542;14%;2.42;0%;117.30%;16.21%;162
GB00B0SWJX34;LSEG;LONDON STOCK EXCH;Wertpapierdienstleistungen;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;9740;1.37;eher positive;66.57;10227;-61;137;5.02%;niedrig;negativ;fairer Preis;positiv;8.10%;STOXX600;21.4;17.20%;3%;22%;3%;52%;3;neutral;8379;761;9%;NULL;1%;1.04%;34.66%;611
GB00B4WFW713;LSP;LONDONMETRIC PROPERTY;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;204.2;5.93;eher positive;5.3;223.7;13;197;6.63%;mittel;negativ;stark unterbewertet;positiv;8.74%;STOXX600;13.8;11.00%;3%;114%;61%;95%;3;neutral;178;119;67%;NULL;32%;2.75%;NULL;91
CH0013841017;LONN;LONZA GROUP;Spezialitäten-Chemie;Chemie;Schweiz ;02.08.2024;CHF;558.4;0.92;neutral;48.61;475.64;21;266;57.87%;mittel;positiv;leicht überbewertet;positiv;17.34%;STOXX600;24.2;22.20%;7%;14%;55%;37%;3;positiv;6717;654;10%;1.77;17%;39.32%;18.98%;260
BE0003604155;LOTB;LOTUS BAKERIES;Nahrungsmittel;Nahrungsmittel & Getränke;Belgien;02.08.2024;EUR;9940;0.69;neutral;8.88;9040.56;-32;207;20.78%;mittel;positiv;leicht überbewertet;positiv;5.03%;STOXX600;44.7;28.10%;20%;16%;53%;10%;3;neutral;1063;129;12%;1.55;22%;85.48%;NULL;NULL
PLLPP0000011;LPP;LPP SA;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Polen;02.08.2024;PLN;14740;5.3;eher negative;6.92;13054.26;72;264;-8.96%;hoch;negativ;leicht unterbewertet;negativ;-9.18%;STOXX600;9.3;14.90%;34%;13%;34%;16%;1;NULL;17406;1607;9%;1.03;25%;126.11%;17.18%;798
FR0000121014;MC;LVMH;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Frankreich;02.08.2024;EUR;630.5;2.28;negative;347.23;589.52;125;130;-14.05%;hoch;negativ;fairer Preis;negativ;-8.59%;STOXX600;18.2;13.10%;25%;26%;42%;17%;1;negativ;86153;15174;18%;1.32;17%;59.96%;25.94%;7159
GB00BKFB1C65;MNG;M&G PLC.;Vermögensverwalter;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;201;10.08;eher positive;6.28;224.4;1;170;-9.62%;mittel;positiv;leicht unterbewertet;negativ;2.01%;STOXX600;7.2;7.40%;7%;16%;2%;77%;3;neutral;15151;297;2%;3.93;4%;8.04%;NULL;462
JE00BJ1DLW90;EMG;MAN GROUP;Vermögensverwalter;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;231;6.1;neutral;3.51;261.84;-11;217;-0.69%;mittel;negativ;leicht unterbewertet;negativ;-1.19%;STOXX600;6.4;14.50%;15%;26%;37%;47%;1;neutral;995;188;19%;NULL;10%;28.96%;25.06%;146
GB0031274896;MKS;MARKS & SPENCER;Warenhäuser & Versand;Einzel- & Grosshandel;Grossbritannien ;02.08.2024;GBp;317.1;2.06;eher positive;8.52;349.21;-38;169;16.41%;mittel;negativ;stark unterbewertet;positiv;13.78%;STOXX600;10.3;9.80%;15%;7%;33%;53%;3;neutral;13040;431;3%;0.86;33%;150.19%;7.15%;20
IT0000062957;MB;MEDIOBANCA;Banken;Geldinstitute;Italien;02.08.2024;EUR;14.05;8.29;neutral;12.58;15.4;-17;199;25.44%;mittel;positiv;leicht unterbewertet;negativ;3.53%;STOXX600;8.1;6.70%;9%;36%;12%;123%;3;negativ;4112;1027;25%;0.42;33%;4.49%;NULL;634
GB00BNGDN821;MRO;MELROSE INDUSTRIES;Industriemaschinen;Industrie;Grossbritannien ;02.08.2024;GBp;482.6;1.68;neutral;8.61;586.91;33;261;-14.95%;mittel;positiv;leicht unterbewertet;negativ;-9.98%;STOXX600;11.1;20.30%;-1%;3%;51%;47%;2;negativ;3350;-41;-1%;0.86;11%;48.35%;10.78%;81
DE0007100000;DAI;MERCEDES-BENZ GROUP N;Fahrzeugbau;Automobile & Zubehör;Deutschland;02.08.2024;EUR;58.3;8.74;neutral;68.89;66.55;36;179;-6.79%;mittel;negativ;leicht unterbewertet;negativ;-7.38%;STOXX600;4.4;4.30%;16%;12%;35%;141%;1;negativ;153218;14261;9%;1.26;24%;58.25%;13.66%;5556
DE0006599905;MRK;MERCK KGAA;Pharmaka;Gesundheitswesen;Deutschland;02.08.2024;EUR;163.5;1.47;neutral;79.28;175.32;-2;284;13.46%;mittel;negativ;fairer Preis;positiv;11.56%;STOXX600;14.7;12.90%;11%;20%;54%;143%;3;positiv;20993;2824;13%;1.42;19%;42.74%;21.94%;1152
ES0105025003;MRL;MERLIN PROPERTIES;Immobilien Investments;Finanzdienstleistungen;Spanien;02.08.2024;EUR;10.42;4.28;neutral;6.34;11.35;-23;190;3.58%;mittel;negativ;leicht unterbewertet;negativ;1.79%;STOXX600;18.1;9.90%;-1%;74%;54%;139%;2;neutral;470;-83;-18%;NULL;37%;3.89%;-17.34%;207
FI0009014575;OTE1V;METSO CORPORATION;Industriemaschinen;Industrie;Finnland;02.08.2024;EUR;8.67;4.47;neutral;8.26;10.29;61;189;-5.47%;mittel;negativ;stark unterbewertet;negativ;-10.15%;STOXX600;11.6;10.40%;21%;15%;36%;34%;1;negativ;5390;543;10%;1.51;18%;75.32%;13.01%;248
FR001400AJ45;ML;MICHELIN;Reifen;Automobile & Zubehör;Frankreich;02.08.2024;EUR;35.46;4.69;neutral;27.86;38.05;-41;109;9.24%;mittel;negativ;leicht unterbewertet;positiv;3.93%;STOXX600;8.6;10.20%;11%;12%;51%;77%;3;negativ;28343;1980;7%;1.77;15%;80.53%;13.75%;893
SE0001174970;TIGO;MILLICOM INTL.CELU. SDR;Mobile Kommunikation;Telekommunikation;Schweden ;02.08.2024;SEK;276;0;positive;4.21;296.18;-96;189;53.12%;niedrig;negativ;leicht unterbewertet;positiv;9.20%;STOXX600;7.1;62.40%;-2%;15%;24%;115%;3;positiv;60097;-871;-1%;0.82;50%;41.08%;22.19%;0
IT0004965148;MONC;MONCLER;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Italien;02.08.2024;EUR;52.78;2.43;eher negative;15.81;49.58;97;180;-5.24%;hoch;negativ;leicht unterbewertet;negativ;-4.75%;STOXX600;18.5;14.40%;19%;30%;64%;21%;1;negativ;2984;612;21%;1.89;13%;59.78%;30.28%;303
GB00BMWC6P49;MNDI;MONDI;Papierprodukte;Rohstoffe;Grossbritannien ;02.08.2024;GBp;1456;4.16;neutral;8.66;1640.5;15;202;-13.91%;mittel;negativ;leicht unterbewertet;negativ;-0.38%;STOXX600;10.8;15.70%;11%;11%;57%;66%;2;negativ;6375;524;8%;2.09;15%;73.84%;13.79%;300
NO0003054108;MHG;MOWI;Landwirtschaft & Fischerei;Nahrungsmittel & Getränke;Norwegen;02.08.2024;NOK;181.7;5.13;eher positive;8.63;200.43;-52;219;-0.16%;niedrig;positiv;stark unterbewertet;negativ;4.72%;STOXX600;9.7;10.10%;13%;18%;44%;43%;3;neutral;62919;5079;8%;3.15;29%;68.07%;15.83%;3720
DE000A0D9PT0;MTX;MTU AERO ENGINES HLDG.;Luftfahrt & Verteidigung;Industrie;Deutschland;02.08.2024;EUR;256.6;1.03;eher positive;15.15;282.58;-51;342;31.42%;niedrig;positiv;fairer Preis;positiv;7.46%;STOXX600;15.7;14.10%;-4%;-4%;27%;27%;4;negativ;5363;-102;-2%;1.12;13%;50.31%;3.36%;171
DE0008430026;MUV2;MUENCHENER RUECK;Rückversicherungen;Versicherungen;Deutschland;02.08.2024;EUR;436.3;3.8;eher positive;64.16;493.49;-61;249;16.32%;niedrig;negativ;stark unterbewertet;negativ;-0.85%;STOXX600;8.7;9.10%;16%;8%;11%;59%;1;neutral;64732;4606;7%;0.46;2%;23.99%;7.61%;1583
SE0009806607;MTRS;MUNTERS GROUP;Abfall & Entsorgung;Industrie;Schweden ;02.08.2024;SEK;209.8;1.21;neutral;3.93;245.53;-29;312;28.32%;mittel;positiv;leicht unterbewertet;negativ;12.98%;STOXX600;19.7;22.90%;15%;11%;31%;18%;3;negativ;13930;784;6%;1.21;28%;83.26%;9.10%;175
SE0000375115;MICR;MYCRONIC;Halbleiter;Technologie;Schweden ;02.08.2024;SEK;349.6;1.6;neutral;3.37;396.54;-43;227;21.64%;mittel;negativ;fairer Preis;negativ;-11.55%;STOXX600;19.5;17.30%;19%;22%;62%;19%;1;negativ;5684;998;18%;2.12;2%;67.48%;20.81%;342
GB00BDR05C01;NG.;NATIONAL GRID;Multiversorger;Versorger;Grossbritannien ;02.08.2024;GBp;997;4.71;eher positive;61.03;1055.03;-33;155;2.53%;mittel;negativ;stark unterbewertet;positiv;14.20%;STOXX600;12;8.00%;8%;27%;30%;75%;3;positiv;19850;2290;12%;0.91;43%;20.19%;21.92%;1718
ES0116870314;NTGY;NATURGY ENERGY;Gasversorger;Versorger;Spanien;02.08.2024;EUR;22.48;6.23;neutral;22.95;20.58;-6;205;-16.74%;mittel;positiv;fairer Preis;positiv;14.05%;STOXX600;12.8;3.10%;21%;17%;25%;36%;4;positiv;22617;1986;9%;1.22;35%;59.69%;15.21%;1624
GB00BM8PJY71;NWG;NATWEST GROUP;Banken;Geldinstitute;Grossbritannien ;02.08.2024;GBp;325.6;5.62;neutral;35.77;363.19;28;158;48.40%;mittel;positiv;leicht unterbewertet;positiv;5.24%;STOXX600;5.9;6.30%;13%;39%;5%;172%;4;negativ;25473;4394;17%;1.3;8%;3.68%;20.92%;1703
DE0006452907;NEM;NEMETSCHEK;Software;Technologie;Deutschland;02.08.2024;EUR;84.75;0.68;neutral;11.09;78.23;28;237;7.99%;mittel;positiv;leicht überbewertet;negativ;-5.42%;STOXX600;34.7;28.40%;22%;24%;57%;8%;1;negativ;852;161;19%;1.04;4%;64.89%;25.77%;52
FR0011675362;NEOEN;NEOEN;Equipment Alternativenergie;Energie;Frankreich;02.08.2024;EUR;38.48;0.5;eher positive;6.34;42.65;-63;269;27.08%;niedrig;positiv;fairer Preis;positiv;4.63%;STOXX600;35.5;31.70%;6%;62%;36%;58%;4;negativ;524;150;29%;1.27;47%;7.08%;62.20%;0
FI0009013296;NESTE;NESTE;Öl & Gas Produzenten;Energie;Finnland;02.08.2024;EUR;18;6.67;neutral;15.34;20.35;8;330;-44.12%;mittel;negativ;leicht unterbewertet;positiv;5.65%;STOXX600;10.3;17.00%;17%;7%;53%;34%;3;negativ;22926;1433;6%;2.1;22%;143.44%;NULL;1168
CH0038863350;NESN;NESTLE SA;Nahrungsmittel;Nahrungsmittel & Getränke;Schweiz ;02.08.2024;CHF;89.4;3.56;neutral;263.22;97.4;-21;156;-8.32%;mittel;negativ;leicht unterbewertet;negativ;-0.82%;STOXX600;16.9;11.20%;31%;17%;28%;14%;1;neutral;92998;11209;12%;0.83;36%;73.49%;15.77%;7829
FR0000044448;NEX;NEXANS;Elektrische Komponenten;Industrie;Frankreich;02.08.2024;EUR;112.6;2.32;eher positive;5.48;126.76;52;147;42.08%;mittel;positiv;stark unterbewertet;positiv;7.99%;STOXX600;10.6;14.20%;13%;5%;26%;49%;4;negativ;7790;221;3%;1.06;11%;119.19%;5.12%;92
IT0005366767;NEXI;NEXI;Spezialfinanz;Finanzdienstleistungen;Italien;02.08.2024;EUR;5.48;0;neutral;8;5.07;72;196;-25.95%;hoch;positiv;stark unterbewertet;negativ;-2.73%;STOXX600;6.9;10.60%;-9%;8%;43%;116%;2;neutral;5909;-1006;-17%;NULL;32%;22.43%;-1.96%;3
GB0032089863;NXT;NEXT;Bekleidung;Einzel- & Grosshandel;Grossbritannien ;02.08.2024;GBp;9476;2.43;eher positive;15.02;10050.52;-29;157;16.73%;mittel;positiv;fairer Preis;positiv;7.31%;STOXX600;13.1;8.90%;53%;18%;32%;14%;4;neutral;5491;802;15%;1.96;36%;116.23%;19.09%;248
SE0015988019;NIBEB;NIBE INDUSTRIER AB;Elektrische Komponenten;Industrie;Schweden ;02.08.2024;SEK;43.28;1.06;eher negative;8.5;38.88;158;365;-38.87%;hoch;negativ;stark unterbewertet;negativ;0.30%;STOXX600;22;28.40%;16%;15%;44%;24%;2;negativ;46649;4785;10%;1.55;24%;68.50%;14.17%;1310
DK0010287663;NKT;NKT;Elektrische Komponenten;Industrie;Dänemark;02.08.2024;DKK;575;0;neutral;4.68;530.57;5;176;23.98%;mittel;positiv;leicht überbewertet;negativ;-3.26%;STOXX600;19.2;17.20%;8%;7%;39%;43%;1;negativ;19128;845;4%;1.16;10%;71.20%;NULL;0
NL0010773842;NN;NN GROUP;Lebensversicherungen;Versicherungen;Holland;02.08.2024;EUR;44.23;8.17;neutral;13.55;48.75;-30;218;23.72%;mittel;negativ;leicht unterbewertet;positiv;1.88%;STOXX600;6;10.60%;6%;16%;9%;200%;3;neutral;20013;1121;6%;0.07;5%;9.61%;6.36%;428
FI0009000681;NOKIA;NOKIA;Telekommunikationsausrüstung;Technologie;Finnland;02.08.2024;EUR;3.56;4.1;neutral;21.99;3.9;-13;269;16.61%;mittel;negativ;stark unterbewertet;positiv;1.50%;STOXX600;10.7;7.40%;3%;12%;46%;122%;3;negativ;22258;665;3%;1.65;10%;49.84%;7.87%;611
FI4000297767;NDA;NORDEA BANK AB;Banken;Geldinstitute;Finnland;02.08.2024;EUR;10.26;9.29;neutral;40.22;11.39;-6;195;-8.61%;mittel;negativ;leicht unterbewertet;negativ;-5.88%;STOXX600;7.4;3.60%;16%;43%;5%;77%;1;negativ;27537;4908;18%;0.49;21%;4.71%;20.07%;2876
SE0015192067;SAVE;NORDNET;Banken;Geldinstitute;Schweden ;02.08.2024;SEK;209;3.82;neutral;5.05;231.4;10;195;22.22%;mittel;positiv;fairer Preis;negativ;-4.55%;STOXX600;16.9;11.20%;39%;57%;3%;15%;2;negativ;5811;2457;42%;NULL;1%;2.61%;NULL;NULL
NO0005052605;NHY;NORSK HYDRO;Aluminium;Rohstoffe;Norwegen;02.08.2024;NOK;57.42;6.08;neutral;10.67;67.63;29;279;-16.05%;mittel;negativ;leicht unterbewertet;negativ;-10.81%;STOXX600;7.5;15.40%;4%;7%;49%;73%;1;negativ;193619;3582;2%;1.82;14%;93.78%;8.99%;11501
CH0012005267;NOVN;NOVARTIS AG;Pharmaka;Gesundheitswesen;Schweiz ;02.08.2024;CHF;96.61;3.48;eher positive;224.28;103.86;-31;146;13.83%;mittel;positiv;leicht unterbewertet;positiv;2.71%;STOXX600;12.8;10.20%;34%;30%;45%;23%;4;positiv;40835;13345;33%;1.16;19%;46.73%;50.90%;6520
DK0062498333;NOVOB;NOVO NORDISK A/S;Pharmaka;Gesundheitswesen;Dänemark;02.08.2024;DKK;871.3;1.5;eher positive;589.66;1000.13;-107;197;24.81%;niedrig;negativ;fairer Preis;negativ;-9.74%;STOXX600;25.4;24.00%;79%;45%;34%;5%;1;positiv;232261;83683;36%;0.82;7%;73.85%;39.47%;31767
DK0060336014;NSIS;NOVONESIS A/S;Spezialitäten-Chemie;Chemie;Dänemark;02.08.2024;DKK;428.8;1.5;neutral;29.4;391.5;-22;155;15.55%;mittel;positiv;leicht überbewertet;positiv;3.88%;STOXX600;26.7;21.20%;22%;26%;49%;17%;3;positiv;17899;3024;17%;1.3;16%;62.60%;24.66%;2825
GB00B3MBS747;OCDO;OCADO GROUP;Nahrungsmittel;Einzel- & Grosshandel;Grossbritannien ;02.08.2024;GBp;393.7;0;eher negative;4.2;289.55;168;458;-48.09%;hoch;positiv;tark überbewertet;positiv;34.98%;STOXX600;-12.8;-0.30%;-21%;-10%;34%;31%;3;neutral;2825;-314;-11%;2.49;43%;63.78%;2.45%;0
NL0010558797;OCI;OCI;Spezialitäten-Chemie;Chemie;Holland;02.08.2024;EUR;21.65;2.92;neutral;5.01;25.24;28;286;-17.49%;mittel;positiv;leicht unterbewertet;negativ;-2.78%;STOXX600;12.2;46.50%;-43%;-20%;10%;15%;2;positiv;1815;-363;-20%;1.5;23%;21.85%;-10.10%;929
AT0000743059;OMV;OMV;Öl & Gas Produzenten;Energie;Oesterreich;02.08.2024;EUR;37.68;11.37;neutral;13.68;42.41;-43;266;-5.26%;mittel;negativ;leicht unterbewertet;negativ;-6.03%;STOXX600;6;0.40%;9%;12%;30%;121%;1;negativ;39463;1479;4%;1.77;20%;74.68%;9.93%;1746
FR0000133308;ORA;ORANGE;Integrale Telekommunikation;Telekommunikation;Frankreich;02.08.2024;EUR;10.35;7.36;positive;29.7;11.15;-91;227;0.40%;niedrig;negativ;leicht unterbewertet;positiv;11.50%;STOXX600;8.1;10.50%;8%;13%;24%;98%;3;positiv;44122;2266;5%;0.82;38%;38.80%;25.45%;1862
FI0009014377;ORNBV;ORION OYJ;Pharmaka;Gesundheitswesen;Finnland;02.08.2024;EUR;42.93;3.91;positive;6.49;45.72;-55;169;9.32%;niedrig;positiv;leicht unterbewertet;positiv;5.68%;STOXX600;17.6;15.40%;24%;23%;62%;21%;4;positiv;1190;217;18%;3.12;12%;82.70%;NULL;225
NO0003733800;ORK;ORKLA;Nahrungsmittel;Nahrungsmittel & Getränke;Norwegen;02.08.2024;NOK;90.85;3.96;eher positive;8.26;96.08;-77;172;15.23%;niedrig;positiv;leicht unterbewertet;positiv;10.01%;STOXX600;11.9;8.90%;11%;10%;52%;58%;4;neutral;67797;5196;8%;1.27;20%;78.29%;11.58%;2989
DK0060094928;DENERG;ORSTED;Multiversorger;Versorger;Dänemark;02.08.2024;DKK;424.5;0;eher negative;25.06;370.93;78;299;13.41%;hoch;negativ;leicht unterbewertet;positiv;16.92%;STOXX600;16.5;27.60%;-37%;25%;20%;36%;3;positiv;69077;-21059;-30%;1.42;38%;24.57%;NULL;5673
